date,close
2018-11-08,11495.2575
2018-11-09,11422.065
2018-11-12,11697.1356
2018-11-13,11894.0326
2018-11-14,11812.4271
2018-11-15,11952.8577
2018-11-16,12043.4819
2018-11-19,12113.7443
2018-11-20,11771.8844
2018-11-21,11815.827
2018-11-22,11794.8932
2018-11-23,11411.1743
2018-11-26,11380.7835
2018-11-27,11410.2226
2018-11-28,11593.0954
2018-11-29,11354.5652
2018-11-30,11481.8958
2018-12-03,11866.2952
2018-12-04,11889.8015
2018-12-05,11852.8279
2018-12-06,11564.3106
2018-12-07,11563.2706
2018-12-10,11400.9421
2018-12-11,11492.1421
2018-12-12,11511.6896
2018-12-13,11676.9073
2018-12-14,11410.8175
2018-12-17,11356.1555
2018-12-18,11263.6178
2018-12-19,11097.3127
2018-12-20,11109.5631
2018-12-21,10977.32
2018-12-24,11060.2001
2018-12-25,10970.7707
2018-12-26,10907.3842
2018-12-27,10796.9956
2018-12-28,10834.2282
2019-01-02,10699.4068
2019-01-03,10610.5097
2019-01-04,10903.5894
2019-01-07,11076.9096
2019-01-08,11064.7619
2019-01-09,11149.6766
2019-01-10,11121.4165
2019-01-11,11190.0395
2019-01-14,11093.674
2019-01-15,11301.1826
2019-01-16,11291.5264
2019-01-17,11187.234
2019-01-18,11354.1774
2019-01-21,11422.0179
2019-01-22,11258.773
2019-01-23,11269.9085
2019-01-24,11345.1016
2019-01-25,11378.625
2019-01-28,11370.5055
2019-01-29,11313.8323
2019-01-30,11193.4026
2019-01-31,11207.1705
2019-02-01,11514.6916
2019-02-11,11867.6047
2019-02-12,12004.727
2019-02-13,12246.9307
2019-02-14,12320.7333
2019-02-15,12180.0818
2019-02-18,12662.4019
2019-02-19,12654.0893
2019-02-20,12703.6487
2019-02-21,12671.8475
2019-02-22,12971.6958
2019-02-25,13697.2591
2019-02-26,13629.7874
2019-02-27,13505.7208
2019-02-28,13545.7577
2019-03-01,13750.118
2019-03-04,14076.0518
2019-03-05,14393.8688
2019-03-06,14551.8534
2019-03-07,14519.1485
2019-03-08,14048.3635
2019-03-11,14560.2052
2019-03-12,14766.4908
2019-03-13,14393.478
2019-03-14,14133.0433
2019-03-15,14332.8877
2019-03-18,14773.296
2019-03-19,14768.6448
2019-03-20,14710.7765
2019-03-21,14815.5113
2019-03-22,14830.5395
2019-03-25,14564.9244
2019-03-26,14282.5095
2019-03-27,14428.1425
2019-03-28,14334.5177
2019-03-29,14876.462
2019-04-01,15419.1919
2019-04-02,15409.0871
2019-04-03,15530.3742
2019-04-04,15644.3764
2019-04-08,15549.2857
2019-04-09,15677.5121
2019-04-10,15676.132
2019-04-11,15261.4217
2019-04-12,15223.179
2019-04-15,15106.0238
2019-04-16,15458.3335
2019-04-17,15544.587
2019-04-18,15460.2189
2019-04-19,15657.3586
2019-04-22,15366.8372
2019-04-23,15217.9809
2019-04-24,15386.6433
2019-04-25,14893.5551
2019-04-26,14703.8261
2019-04-29,14466.6817
2019-04-30,14545.7825
2019-05-06,13447.5596
2019-05-07,13667.7938
2019-05-08,13537.897
2019-05-09,13350.391
2019-05-10,13889.6959
2019-05-13,13691.9603
2019-05-14,13595.0147
2019-05-15,13927.7362
2019-05-16,13980.1514
2019-05-17,13540.0141
2019-05-20,13414.3258
2019-05-21,13673.019
2019-05-22,13604.1733
2019-05-23,13256.3646
2019-05-24,13207.8437
2019-05-27,13514.2092
2019-05-28,13599.0908
2019-05-29,13561.77
2019-05-30,13461.7199
2019-05-31,13431.4309
2019-06-03,13333.3194
2019-06-04,13170.4533
2019-06-05,13167.8876
2019-06-06,12926.1116
2019-06-10,13117.8696
2019-06-11,13609.36
2019-06-12,13485.2495
2019-06-13,13481.3687
2019-06-14,13269.0983
2019-06-17,13225.8282
2019-06-18,13261.9255
2019-06-19,13445.6006
2019-06-20,13761.5822
2019-06-21,13881.8768
2019-06-24,13879.464
2019-06-25,13738.6407
2019-06-26,13745.9736
2019-06-27,13923.1787
2019-06-28,13831.8291
2019-07-01,14363.3467
2019-07-02,14386.8971
2019-07-03,14198.324
2019-07-04,14121.4931
2019-07-05,14235.2522
2019-07-08,13848.7913
2019-07-09,13868.457
2019-07-10,13820.0746
2019-07-11,13800.7298
2019-07-12,13892.9433
2019-07-15,14038.5793
2019-07-16,14000.1964
2019-07-17,14029.0651
