date,close
2003-07-09,1921.0345
2003-07-10,1957.7506
2003-07-11,1953.9788
2003-07-14,1944.625
2003-07-15,1949.924
2003-07-16,1955.2583
2003-07-17,1968.0272
2003-07-18,1927.0217
2003-07-21,1912.7561
2003-07-22,1916.2325
2003-07-23,1921.0687
2003-07-24,1910.0988
2003-07-25,1890.0424
2003-07-28,1880.9088
2003-07-29,1889.8883
2003-07-30,1893.0523
2003-07-31,1889.4795
2003-08-01,1889.9199
2003-08-04,1912.3297
2003-08-05,1912.4137
2003-08-06,1902.2503
2003-08-07,1903.8322
2003-08-08,1883.3779
2003-08-11,1887.5482
2003-08-12,1893.9326
2003-08-13,1876.8551
2003-08-14,1864.2922
2003-08-15,1857.1464
2003-08-18,1850.7447
2003-08-19,1856.8123
2003-08-20,1846.6517
2003-08-21,1846.063
2003-08-22,1843.3823
2003-08-25,1822.1249
2003-08-26,1826.1593
2003-08-27,1826.4965
2003-08-28,1814.2513
2003-08-29,1822.4561
2003-09-01,1858.2724
2003-09-02,1854.185
2003-09-03,1856.0473
2003-09-04,1855.6497
2003-09-05,1835.4229
2003-09-08,1828.1245
2003-09-09,1821.0211
2003-09-10,1825.1447
2003-09-11,1826.2937
2003-09-12,1807.4596
2003-09-15,1792.6961
2003-09-16,1803.8238
2003-09-17,1783.0796
2003-09-18,1784.0717
2003-09-19,1785.3488
2003-09-22,1772.7526
2003-09-23,1784.0974
2003-09-24,1789.443
2003-09-25,1766.5623
2003-09-26,1759.7096
2003-09-29,1739.9421
2003-09-30,1755.2621
2003-10-08,1761.2097
2003-10-09,1758.1254
2003-10-10,1802.9945
2003-10-13,1797.5514
2003-10-14,1782.9428
2003-10-15,1776.5674
2003-10-16,1754.1104
2003-10-17,1760.7715
2003-10-20,1746.6718
2003-10-21,1752.9812
2003-10-22,1796.4328
2003-10-23,1781.9817
2003-10-24,1775.9252
2003-10-27,1760.1721
2003-10-28,1760.1344
2003-10-29,1750.1991
2003-10-30,1728.6721
2003-10-31,1733.5275
2003-11-03,1753.9176
2003-11-04,1786.8321
2003-11-05,1781.2709
2003-11-06,1744.9923
2003-11-07,1717.37
2003-11-10,1723.7985
2003-11-11,1728.4618
2003-11-12,1695.3784
2003-11-13,1697.8493
2003-11-14,1712.7069
2003-11-17,1709.0457
2003-11-18,1694.3339
2003-11-19,1723.1773
2003-11-20,1771.7531
2003-11-21,1752.6549
2003-11-24,1807.4361
2003-11-25,1813.2528
2003-11-26,1817.895
2003-11-27,1788.6756
2003-11-28,1799.2758
2003-12-01,1845.1054
2003-12-02,1848.6144
2003-12-03,1861.2697
2003-12-04,1871.4423
2003-12-05,1869.4126
2003-12-08,1869.5687
2003-12-09,1859.722
2003-12-10,1893.4417
2003-12-11,1894.3664
2003-12-12,1895.5078
2003-12-15,1895.0976
2003-12-16,1890.0668
2003-12-17,1874.3083
2003-12-18,1878.7187
2003-12-19,1864.6662
2003-12-22,1924.9952
2003-12-23,1935.0466
2003-12-24,1952.202
2003-12-25,1950.7733
2003-12-26,1953.737
2003-12-29,1930.2271
2003-12-30,1950.0692
2003-12-31,1931.3294
2004-01-02,1957.4768
2004-01-05,2023.6386
2004-01-06,2031.7604
2004-01-07,2048.2851
2004-01-08,2078.0285
2004-01-09,2041.2049
2004-01-12,2089.19
2004-01-13,2081.824
2004-01-14,2055.8354
2004-01-15,2048.3429
2004-01-16,2066.4933
2004-01-29,2103.3433
2004-01-30,2054.3007
2004-02-02,2097.2757
2004-02-03,2130.2494
2004-02-04,2176.758
2004-02-05,2187.612
2004-02-06,2169.3965
2004-02-09,2201.009
2004-02-10,2185.0075
2004-02-11,2168.0601
2004-02-12,2150.2352
2004-02-13,2143.5655
2004-02-16,2193.2207
2004-02-17,2202.374
2004-02-18,2219.7694
2004-02-19,2219.8409
2004-02-20,2226.1413
2004-02-23,2174.4732
2004-02-24,2175.4772
2004-02-25,2130.498
2004-02-26,2140.3885
2004-02-27,2166.6443
2004-03-01,2185.8212
2004-03-02,2182.784
2004-03-03,2150.0126
2004-03-04,2159.3199
2004-03-05,2150.7213
2004-03-08,2118.6046
2004-03-09,2118.7145
2004-03-10,2171.9107
2004-03-11,2189.6466
2004-03-12,2193.833
2004-03-15,2247.6988
2004-03-16,2259.9467
2004-03-17,2259.5499
2004-03-18,2223.6846
2004-03-19,2263.5007
2004-03-22,2273.7982
2004-03-23,2255.8601
2004-03-24,2253.9137
2004-03-25,2249.4593
2004-03-26,2246.4899
2004-03-29,2228.0477
2004-03-30,2234.1883
2004-03-31,2256.8413
2004-04-01,2278.4326
2004-04-02,2292.2181
2004-04-05,2289.598
2004-04-06,2304.08
2004-04-07,2300.4208
2004-04-08,2295.0641
2004-04-09,2239.5887
2004-04-12,2234.1109
2004-04-13,2224.1095
2004-04-14,2200.9704
2004-04-15,2177.6979
2004-04-16,2197.0463
2004-04-19,2173.9046
2004-04-20,2165.6936
2004-04-21,2142.7156
2004-04-22,2150.9398
2004-04-23,2122.1975
2004-04-26,2122.3633
2004-04-27,2091.8558
2004-04-28,2085.4563
2004-04-29,2050.1192
2004-04-30,2071.2316
2004-05-10,2025.4796
2004-05-11,2035.8235
2004-05-12,2082.3464
2004-05-13,2074.4641
2004-05-14,2029.334
2004-05-17,1999.9788
2004-05-18,2020.2456
2004-05-19,2024.1011
2004-05-20,2012.2779
2004-05-21,2024.4783
2004-05-24,2014.2693
2004-05-25,1972.4599
2004-05-26,1980.9205
2004-05-27,2023.6242
2004-05-28,2012.7958
2004-05-31,2022.2923
2004-06-01,2053.3245
2004-06-02,2037.121
2004-06-03,2006.6816
2004-06-04,2004.9675
2004-06-07,1972.6992
2004-06-08,1942.5192
2004-06-09,1909.1978
2004-06-10,1909.7043
2004-06-11,1914.7044
2004-06-14,1871.4967
2004-06-15,1904.2184
2004-06-16,1919.5106
2004-06-17,1880.7437
2004-06-18,1857.2129
2004-06-21,1865.3835
2004-06-22,1887.9349
2004-06-23,1875.1305
2004-06-24,1858.3921
2004-06-25,1823.8632
2004-06-28,1803.2689
2004-06-29,1834.0154
2004-06-30,1821.7574
2004-07-01,1876.4651
2004-07-02,1876.7729
2004-07-05,1881.3494
2004-07-06,1889.1969
2004-07-07,1873.5834
2004-07-08,1875.5361
2004-07-09,1863.793
2004-07-12,1820.2908
2004-07-13,1823.4488
2004-07-14,1829.1884
2004-07-15,1852.5139
2004-07-16,1897.7324
2004-07-19,1899.7167
2004-07-20,1887.3603
2004-07-21,1887.6352
2004-07-22,1834.8609
2004-07-23,1834.9517
2004-07-26,1809.3788
2004-07-27,1804.904
2004-07-28,1811.1525
2004-07-29,1835.4496
2004-07-30,1808.0387
2004-08-02,1791.2457
2004-08-03,1782.3104
2004-08-04,1832.3459
2004-08-05,1812.314
2004-08-06,1814.3132
2004-08-09,1821.4863
2004-08-10,1828.0524
2004-08-11,1807.5714
2004-08-12,1785.8303
2004-08-13,1786.3036
2004-08-16,1768.2501
2004-08-17,1775.8171
2004-08-18,1773.3679
2004-08-19,1750.3123
2004-08-20,1752.133
2004-08-23,1730.9538
2004-08-24,1756.1828
2004-08-25,1749.9982
2004-08-26,1743.1333
2004-08-27,1725.2345
2004-08-30,1723.7946
2004-08-31,1753.53
2004-09-01,1726.7533
2004-09-02,1735.3382
2004-09-03,1734.4161
2004-09-06,1727.1684
2004-09-07,1731.003
2004-09-08,1711.5847
2004-09-09,1679.0061
2004-09-10,1682.7658
2004-09-13,1647.9061
2004-09-14,1700.3918
2004-09-15,1772.2754
2004-09-16,1793.3071
2004-09-17,1850.3416
2004-09-20,1913.9483
2004-09-21,1894.9257
2004-09-22,1857.9065
2004-09-23,1916.4424
2004-09-24,1878.3698
2004-09-27,1867.8353
2004-09-28,1878.702
2004-09-29,1858.4621
2004-09-30,1828.1035
2004-10-08,1862.579
2004-10-11,1849.9316
2004-10-12,1812.4882
2004-10-13,1815.6196
2004-10-14,1745.3462
2004-10-15,1742.316
2004-10-18,1748.8394
2004-10-19,1751.8907
2004-10-20,1742.8173
2004-10-21,1716.7082
2004-10-22,1741.4841
2004-10-25,1717.7747
2004-10-26,1735.7706
2004-10-27,1759.5135
2004-10-28,1758.2616
2004-10-29,1730.6185
2004-11-01,1710.7767
2004-11-02,1705.9805
2004-11-03,1739.1744
2004-11-04,1710.509
2004-11-05,1711.1062
2004-11-08,1710.0634
2004-11-09,1714.3948
2004-11-10,1776.1043
2004-11-11,1766.6512
2004-11-12,1773.5416
2004-11-15,1797.0665
2004-11-16,1797.6591
2004-11-17,1779.1075
2004-11-18,1794.5847
2004-11-19,1810.6442
2004-11-22,1814.803
2004-11-23,1799.4945
2004-11-24,1783.7335
2004-11-25,1782.8356
2004-11-26,1780.8692
2004-11-29,1755.6861
2004-11-30,1760.206
2004-12-01,1752.6959
2004-12-02,1750.4008
2004-12-03,1755.9324
2004-12-06,1759.285
2004-12-07,1738.5545
2004-12-08,1742.2201
2004-12-09,1758.6085
2004-12-10,1731.0411
2004-12-13,1720.6403
2004-12-14,1717.9627
2004-12-15,1725.3149
2004-12-16,1714.9045
2004-12-17,1695.9496
2004-12-20,1676.3306
